trade_date,ts_code,name,signal,direction,close,pct_chg,volume_ratio,turnover_rate_f,main_net_pct,winner_rate,rsi_6,bull_count
20260324,300375.SZ,鹏翎股份,S7_底部共振,LONG,4.83,3.871,1.06,4.0563,0.31853758892962647,13.52,29.86,1
20260324,603639.SH,海利尔,S7_底部共振,LONG,12.77,3.8211,0.93,2.8314,0.29261622386880587,11.73,27.669,2
20260324,300610.SZ,晨化股份,S7_底部共振,LONG,11.0,3.7736,0.61,4.8188,0.2588562937099271,16.21,26.952,1
20260324,300547.SZ,川环科技,S7_底部共振,LONG,29.12,3.7406,0.93,3.3975,0.2634986882099936,32.86,28.442,1
20260324,301311.SZ,昆船智能,S7_底部共振,LONG,16.19,3.7156,0.91,3.6784,0.8003873282743785,42.96,27.146,2
20260324,000676.SZ,智度股份,S7_底部共振,LONG,7.54,3.7139,1.06,2.4867,0.15454415178699335,45.82,29.706,2
20260324,002615.SZ,哈尔斯,S7_底部共振,LONG,7.54,3.7139,1.15,5.4392,0.34648280136349585,24.39,27.799,2
20260324,603151.SH,邦基科技,S7_底部共振,LONG,16.88,3.6855,1.33,3.3578,0.22007864508103728,6.3,29.523,2
20260324,300532.SZ,今天国际,S7_底部共振,LONG,10.47,3.6634,1.08,2.5998,0.024539469750818492,7.05,29.617,2
20260324,301525.SZ,儒竞科技,S7_底部共振,LONG,73.6,3.662,0.65,2.7242,1.1582284451784444,7.56,27.315,3
20260324,301160.SZ,翔楼新材,S7_底部共振,LONG,55.68,3.6293,0.68,2.3438,0.13639018727963192,8.98,27.143,3
20260324,301622.SZ,英思特,S7_底部共振,LONG,58.26,3.5917,0.89,2.4132,0.6665051062983395,35.19,26.905,2
20260324,300010.SZ,豆神教育,S7_底部共振,LONG,6.08,3.5775,0.94,2.2071,0.13726729858694742,11.51,28.335,1
20260324,002735.SZ,王子新材,S7_底部共振,LONG,14.54,3.5613,1.27,5.9373,0.04774637853241498,48.22,23.908,2
20260324,300793.SZ,佳禾智能,S7_底部共振,LONG,14.26,3.5585,0.96,2.1464,0.14259832059403746,6.34,29.198,3
20260324,301383.SZ,天键股份,S7_底部共振,LONG,27.4,3.5525,1.0,3.5079,0.1791723405728532,30.86,26.001,2
20260324,002982.SZ,湘佳股份,S7_底部共振,LONG,13.3,3.5019,0.93,5.4382,0.4695954522246847,44.62,28.389,2
20260324,300753.SZ,爱朋医疗,S7_底部共振,LONG,28.18,3.4888,0.73,6.8138,0.12558944499330868,47.24,24.523,2
20260324,601677.SH,明泰铝业,S7_底部共振,LONG,14.54,3.4875,0.89,2.3808,0.6495733051521559,10.48,27.982,2
20260324,001316.SZ,润贝航科,S7_底部共振,LONG,43.25,3.4689,1.76,7.4341,0.09349744332322724,8.08,28.303,3
20260324,002057.SZ,中钢天源,S7_底部共振,LONG,9.02,3.4404,0.85,3.4547,0.665680741450281,10.57,21.134,2
20260324,600359.SH,新农开发,S7_底部共振,LONG,6.64,3.4268,1.02,5.7133,0.31137596853304267,12.16,24.835,1
20260324,300168.SZ,万达信息,S7_底部共振,LONG,5.45,3.4156,1.02,1.7909,0.04010211101857568,3.87,26.34,2
20260324,000030.SZ,富奥股份,S7_底部共振,LONG,4.85,3.4115,0.95,2.7731,0.1861828527529474,5.79,29.008,2
20260324,300643.SZ,万通智控,S7_底部共振,LONG,17.06,3.3939,0.51,4.2552,0.22710310382116952,12.58,22.704,1
20260324,000597.SZ,东北制药,S7_底部共振,LONG,4.88,3.3898,1.03,2.7344,0.28803766636829986,4.76,29.667,4
20260324,002127.SZ,南极电商,S7_底部共振,LONG,2.75,3.3835,0.93,1.6417,0.06929906057054329,6.75,27.506,2
20260324,002577.SZ,雷柏科技,S7_底部共振,LONG,15.3,3.3784,1.2,1.9379,0.011060591026621188,4.26,29.11,2
20260324,300925.SZ,法本信息,S7_底部共振,LONG,17.76,3.376,0.83,2.4256,0.4773058440551854,38.9,26.823,2
20260324,688128.SH,中国电研,S7_底部共振,LONG,26.03,3.3757,1.08,2.5886,0.7119493426708319,10.85,28.933,2
20260324,300877.SZ,金春股份,S7_底部共振,LONG,24.84,3.3708,1.09,6.2318,0.0663323660093958,11.44,21.022,2
20260324,300384.SZ,三联虹普,S7_底部共振,LONG,15.38,3.3602,0.6,2.5204,0.028604508615405495,7.22,24.751,2
20260324,300057.SZ,万顺新材,S7_底部共振,LONG,5.56,3.3457,1.02,5.0432,1.0125136574706364,14.95,29.582,2
20260324,688357.SH,建龙微纳,S7_底部共振,LONG,32.2,3.3376,0.78,2.3393,0.5123769396817697,7.46,29.566,2
20260324,601388.SH,怡球资源,S7_底部共振,LONG,3.42,3.3233,0.74,4.4437,0.09388698357900482,11.08,24.793,2
20260324,000726.SZ,鲁泰Ａ,S7_底部共振,LONG,6.85,3.3183,0.9,2.0009,0.8939428726221013,9.78,28.194,3
20260324,000825.SZ,太钢不锈,S7_底部共振,LONG,4.37,3.3097,0.76,1.9656,0.06705517893651876,7.72,25.984,2
20260324,301058.SZ,中粮科工,S7_底部共振,LONG,9.73,3.2909,0.79,2.4492,0.40007564791713646,6.62,26.376,4
20260324,600662.SH,外服控股,S7_底部共振,LONG,5.05,3.272,1.08,2.4484,0.3284865256369948,8.85,27.826,2
20260324,002681.SZ,奋达科技,S7_底部共振,LONG,5.37,3.2692,1.12,2.161,0.5591264023934178,39.83,26.108,2
20260324,300694.SZ,蠡湖股份,S7_底部共振,LONG,11.38,3.2668,1.19,5.1307,0.18133991735978602,10.39,28.785,2
20260324,002110.SZ,三钢闽光,S7_底部共振,LONG,3.82,3.2432,0.67,2.624,0.6792087508483374,5.95,25.87,2
20260324,002375.SZ,亚厦股份,S7_底部共振,LONG,3.82,3.2432,1.27,3.1118,0.2739708854570752,14.93,28.859,2
20260324,000932.SZ,华菱钢铁,S7_底部共振,LONG,5.1,3.2389,0.99,2.8296,1.0670467387081966,6.89,22.556,3
20260324,605077.SH,华康股份,S7_底部共振,LONG,14.45,3.2143,1.03,1.6633,1.0793130533001647,7.44,28.932,3
20260324,300459.SZ,汤姆猫,S7_底部共振,LONG,4.18,3.2099,0.89,2.3503,0.18890525849534398,35.5,25.806,2
20260324,600423.SH,柳化股份,S7_底部共振,LONG,3.54,3.207,0.65,4.3135,0.19208459883758214,11.87,27.527,2
20260324,688750.SH,金天钛业,S7_底部共振,LONG,17.41,3.1398,0.82,2.4823,0.11621330812043044,29.31,24.792,1
20260324,603379.SH,三美股份,S7_底部共振,LONG,62.01,3.1266,0.95,2.7747,0.04132611300948196,11.09,27.191,2
20260324,000816.SZ,智慧农业,S7_底部共振,LONG,3.3,3.125,0.69,3.7633,0.10860443530756456,8.29,26.853,3
20260324,603303.SH,得邦照明,S7_底部共振,LONG,13.59,3.1108,0.81,1.3727,0.393446345859966,38.46,29.661,1
20260324,301215.SZ,中汽股份,S7_底部共振,LONG,5.97,3.1088,1.1,3.2544,0.133747067691538,5.18,26.203,3
20260324,002065.SZ,东华软件,S7_底部共振,LONG,7.99,3.0968,0.97,1.807,0.086785590756386,5.38,27.055,3
20260324,601718.SH,际华集团,S7_底部共振,LONG,3.01,3.0822,0.99,2.4505,0.10468422579709219,7.35,27.882,3
20260324,002583.SZ,海能达,S7_底部共振,LONG,9.82,3.043,0.85,1.745,0.19000265646850076,41.72,25.236,3
20260324,300119.SZ,瑞普生物,S7_底部共振,LONG,17.63,3.0392,0.76,1.6525,0.8992066054767622,7.34,29.096,3
20260324,002208.SZ,合肥城建,S7_底部共振,LONG,12.9,3.0351,0.72,12.277,0.1207369806354571,14.66,24.373,2
20260324,600489.SH,中金黄金,S7_底部共振,LONG,24.63,3.0113,1.04,3.7621,0.17981948913917942,9.79,18.784,3
20260324,301092.SZ,争光股份,S7_底部共振,LONG,32.53,3.0082,0.67,5.3529,0.15655153181148163,11.34,28.115,1
20260324,002777.SZ,久远银海,S7_底部共振,LONG,16.78,3.008,0.86,2.558,0.38979545151266737,5.41,29.032,3
20260324,688458.SH,美芯晟,S7_底部共振,LONG,33.28,3.0022,1.1,2.2971,0.18963695698108496,8.4,25.27,2
20260324,300622.SZ,博士眼镜,S7_底部共振,LONG,23.52,2.9772,0.59,3.8248,0.01785024276330158,38.21,18.889,1
20260324,301387.SZ,光大同创,S7_底部共振,LONG,49.91,2.9709,0.84,5.3974,0.24010282894570428,14.29,27.326,1
20260324,001390.SZ,古麒绒材,S7_底部共振,LONG,20.86,2.9615,0.93,3.3109,0.02424847346171909,45.78,27.776,2
20260324,300790.SZ,宇瞳光学,S7_底部共振,LONG,23.38,2.9502,0.78,2.0569,0.40233114927805463,9.19,28.505,3
20260324,002925.SZ,盈趣科技,S7_底部共振,LONG,19.34,2.9271,1.04,3.5886,0.4470183829024059,10.28,27.737,1
20260324,300193.SZ,佳士科技,S7_底部共振,LONG,8.44,2.9268,0.81,2.6644,0.9329354044302468,10.6,27.143,3
20260324,002045.SZ,国光电器,S7_底部共振,LONG,11.65,2.9152,1.05,2.3474,0.18971690625275628,12.32,26.323,2
20260324,601069.SH,西部黄金,S7_底部共振,LONG,30.0,2.8807,0.87,6.0428,0.11738137539266892,7.21,25.093,3
20260324,300173.SZ,ST福能,S7_底部共振,LONG,4.29,2.8777,1.07,2.4752,0.5575663606841232,21.55,29.727,2
20260324,002552.SZ,宝鼎科技,S7_底部共振,LONG,15.73,2.8777,1.39,6.8405,0.07101732870857674,8.35,18.773,3
20260324,002171.SZ,楚江新材,S7_底部共振,LONG,10.75,2.8708,0.82,2.5846,0.16050209456314457,36.61,22.827,2
20260324,300021.SZ,大禹节水,S7_底部共振,LONG,4.31,2.864,0.69,2.4951,1.305174091416947,42.65,26.417,3
20260324,688083.SH,中望软件,S7_底部共振,LONG,50.97,2.845,1.49,3.5356,0.2933171394696509,6.78,20.817,3
20260324,603072.SH,天和磁材,S7_底部共振,LONG,35.31,2.8247,0.81,2.0838,0.26303815852429546,41.86,22.239,2
20260324,002239.SZ,奥特佳,S7_底部共振,LONG,2.92,2.8169,0.95,3.2367,1.4664670169845448,13.23,28.938,3
20260324,000650.SZ,仁和药业,S7_底部共振,LONG,5.49,2.809,0.82,1.6313,0.04523267352288339,5.21,29.435,3
20260324,002607.SZ,中公教育,S7_底部共振,LONG,2.58,2.7888,0.92,2.8406,0.2881804472263215,20.63,28.786,1
20260324,603980.SH,吉华集团,S7_底部共振,LONG,6.3,2.7732,0.69,5.1774,0.03792837889872918,11.78,24.727,2
20260324,301591.SZ,肯特股份,S7_底部共振,LONG,39.7,2.7699,0.44,3.7731,0.5597643265192381,15.97,28.02,1
20260324,600817.SH,宇通重工,S7_底部共振,LONG,10.88,2.7384,1.04,2.6671,0.4198788173875409,6.46,26.617,3
20260324,600022.SH,山东钢铁,S7_底部共振,LONG,1.51,2.7211,0.79,4.6137,0.2636886085147141,24.54,29.573,2
20260324,300133.SZ,华策影视,S7_底部共振,LONG,7.18,2.7182,0.86,3.2759,0.1537906476437877,33.19,27.842,1
20260324,000822.SZ,山东海化,S7_底部共振,LONG,5.73,2.6882,0.62,8.6998,0.5455594672367653,19.65,29.293,2
20260324,300183.SZ,东软载波,S7_底部共振,LONG,14.15,2.6851,1.11,3.1754,0.39465203976688384,7.19,27.937,4
20260324,603566.SH,普莱柯,S7_底部共振,LONG,12.26,2.6801,1.02,2.0672,0.445887541009653,4.83,23.777,3
